ZONA NORTE|92| VICENTE LOPEZ|Av. Maipu 1758|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|4795-0702|-34.521857|-58.485506
ZONA NORTE|164| VILLA BALLESTER|Jose Hernandez 2955|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4767-6404/6401|-34.57|-58.517
ZONA SUR|64| AVELLANEDA|Av. Mitre 3300|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:00|4205-7808|-34.682703|-58.341885
ZONA SUR|101| AVELLANEDA|Italia 62 |SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4222-6555|-34.665021|-58.362306
ZONA SUR|183| BANFIELD|Av. Hipolito Yrigoyen 8028|SUPER|8:30 a 21:00|8:30 a 2130|8:30 a 22:00|9:00 a 21:00|4202-0347 / 3077|-34.749424|-58.400223
ZONA SUR|130| BERNAL|Av. Dardo Rocha 251/259|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 14:00|4251-5950|-34.719048|-58.29113
ZONA SUR|189| EZEIZA|Av. Ruta 205 Entre 52 y Reconquista|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4389-5251 / 4389-5252|-34.844866|-58.507372
ZONA SUR|149| LA PLATA|calle 43 782|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|0221-4221824|-34.913282|-57.960182
ZONA SUR|75| LANUS|Av. B. Rivadavia 2602 y Warnes|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:30|4239-9300|-34.6906929016113|-58.4200553894042
ZONA SUR|105| MONTEGRANDE|Boulevar Bs. As. 710|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|4281-8435 / 8380|-34.814747|-58.457076
ZONA SUR|104| QUILMES|12 de octubre 3054 |SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 22:00|9:00 a 14:00|4250-7066|-34.742231|-58.289502
ZONA SUR|65| QUILMES|Hipolito Yrigoyen 380|HIPER|8:30 a 21:30|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4224-6054|-34.719271|-58.263357
ZONA SUR|186| REMEDIOS DE ESCALADA|Av. Hipolito Yrigoyen 6174|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4248-3271/3272/3279|-34.72657|-58.395599
ZONA SUR|107| TEMPERLEY|Hipolito Irigoyen 10699|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|4239-3000|-34.781765|-58.406648
ZONA SUR|171| TRISTAN SUAREZ|Avda. Sarmiento 524 ( Ruta 205 )|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|4234-2127 4386-1573|-34.893083|-58.572266
ZONA OESTE|123| BELLA VISTA|O Higgins 1263 |SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 14:00|4668-2636|-34.572497|-58.682875
ZONA OESTE|199| CASTELAR|Santa Rosa 1753|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4624-2933/4624-2257/4624-3836/4623-7496/4623-9307|-34.6406079|-58.656038799999976
ZONA OESTE|215| CENTRO COMERCIAL MORON|La Roche y Almirante Brown|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:30||-34.6487503|-58.62523620000002
ZONA OESTE|129| CIUDADELA|Comesaña 4056|HIPER|8:30 a 22:00|8:30 a 22:00|8:30 a 22:30|8:30 a 22:00|4657-5539|-34.628918|-58.548529
ZONA OESTE|13| GONZALEZ CATAN|Ruta 3 km 44.400|MINI|8:30 a 13:00 16:00 a 20:00|8:30 a 20:00|8:30 a 20:30|Cerrado|02202-495279|-34.774825|-58.621931
ZONA OESTE|131| JOSE C. PAZ|Hipolito Yrigoyen 1826|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|02320-428689|-34.518699|-58.756002
ZONA OESTE|51| RAMOS MEJIA|  Av. Rivadavia 13810|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4656-6497|-34.6406631469726|-58.5611572265625
ZONA OESTE|57| SAN MARTIN|San Martin 122|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 14:00|4752-5245|-34.579104|-58.535868
ZONA OESTE|111| SAN MARTIN|Av. Balbin 2030/40|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4754-1640|-34.581072|-58.541666
ZONA OESTE|53| SANTOS LUGARES|Av. La Plata 3635|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|Cerrado|4757-0808|-34.599566|-58.544943
ZONA OESTE|94| TAPIALES|Boulogne Sur Mer y Av de la Cooperacion |SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 21:00|4462-1810|-34.7034187316894|-58.4988327026367
PARTIDO DE LA COSTA|204| CENTRO COMERCIAL COSTA ATLANTICA|Ruta 11 km 330 |HIPER|8:30 a 22:00|8:30 a 22:00|8:30 a 22:00|8:30 a 22:00|4586-7940|-36.5817680301218|-56.7173456549649
PARTIDO DE LA COSTA|178| MADARIAGA|Ruta 11 km 404|HIPER|9:00 a 21:00|9:00 a 21:00|9:00 a 21:00|9:00 a 21:00|02254-571824/26/27/30|-37.185485|-56.951625
PARTIDO DE LA COSTA|49| MAR DE AJO|San Martín 251/75 |SUPER|8:30 a 21:00|8:30 a 22:00|8:30 a 22:00|9:00 a 14:00|02257-420229|-36.721442|-56.676649
SANTA FE|165| ALTO ROSARIO|Av. Junin y Thedy|HIPER|9:00 a 22:00|9:00 a 22:00|9:00 a 22:00|Cerrado|0341-435-7060|-32.927225|-60.671489
SANTA FE|95| BARRIO ECHESORTU|Mendoza 3901  (Rosario)|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|Cerrado|0341-4389283|-32.945357|-60.677228
SANTA FE|99| CENTRO|Tres de Febrero 1602 (Rosario)|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|Cerrado|0341-4254913|-32.95193|-60.646059
SANTA FE|97| CENTRO|Urquiza 1644  (Rosario)|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|Cerrado|0341-440-7475|-32.942031|-60.644549
SANTA FE|96| FISHERTON|Venezuela 114 bis  (Rosario)|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|Cerrado|0341-451-4618 / 0341-451-5332|-32.928038|-60.724663
SANTA FE|118| SANTA FE|Rivadavia 3396|SUPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:30|0342-453-3372|-31.636868|-60.70124
SANTA FE|179| SANTA FE PUERTO|Colastine y Av. 27 de febrero|SUPER|8:30 a 21:30|8:30 a 21:30|8:30 a 22:00|9:00 a 21:30|0342-483-1640/1370|-31.638161|-60.718661
ENTRE RIOS|109| PARANA|Coronel Juan M. Piran 801 |HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|0343-422-0224|-31.740021|-60.535746
NEUQUEN|185| NEUQUEN|RUTA PROVINCIAL N 7 Y DR RAMON|HIPER|8:30 a 22:00|8:30 a 22:30|8:30 a 22:30|9:00 a 22:00||-38.942254|-68.064506
MENDOZA|209| CENTRO COMERCIAL MENDOZA|Av. Perú y Carlos Pellegrini|HIPER|8:30 a 21:30|8:30 a 21:30|8:30 a 22:00|9:00 a 21:30|0261-464-1200|-32.871591|-68.843574
